"langname","area","active","alert","attentive","enthusiastic","excited","interested","proud","happy","joyful","delighted","cheerful","lively","energetic","strong","confident","bold","daring","fearless","afraid","scared","nervous","jittery","irritable","hostile","guilty","ashamed","upset","distressed","frightened","shaky","angry","disgusted","sad","lonely","dictsize"
"Urdu","Eurasia",35,13,23,0,0,4,34,48,6,23,25,0,0,64,0,16,0,11,11,0,0,0,4,0,6,22,0,53,11,0,38,8,26,0,17400
"North Levantine Arabic","Eurasia",9,4,0,3,8,12,7,15,2,3,3,6,0,31,0,3,0,0,35,0,13,0,2,2,10,3,9,0,7,3,11,2,17,3,9571
"Bengali","Eurasia",81,6,21,0,16,8,48,55,10,49,0,7,19,86,0,44,24,8,19,0,0,0,0,15,63,13,0,80,0,0,83,0,36,6,39164
"Central Nicobarese","Eurasia",7,2,0,0,3,0,2,3,2,3,0,0,0,23,0,1,2,0,8,0,0,0,2,3,4,3,12,0,0,0,20,1,4,4,5069
"Mandarin Chinese","Eurasia",28,0,10,0,14,0,31,44,10,13,20,27,0,117,0,43,17,12,19,0,0,0,0,12,22,21,12,9,12,0,34,0,13,7,29343
"German","Eurasia",2,1,0,0,0,1,0,3,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,6348
"German","Eurasia",54,0,0,0,0,15,71,61,0,0,14,50,0,190,0,44,0,0,30,13,22,0,0,14,46,24,36,0,13,0,58,0,104,0,55556
"German","Eurasia",53,0,13,0,0,13,36,49,15,0,21,31,0,135,15,57,15,0,46,0,21,0,17,14,33,14,13,0,13,0,63,0,59,0,44759
"German","Eurasia",58,0,13,0,0,12,30,66,15,0,29,20,0,106,17,53,12,0,46,0,26,0,0,14,38,16,15,0,17,17,54,0,70,0,41560
"German","Eurasia",53,0,13,0,0,12,40,37,15,0,17,27,0,107,11,53,0,0,42,0,14,0,17,0,32,0,0,0,0,0,63,11,41,0,37186
"Italian","Eurasia",12,0,16,0,0,0,80,41,11,0,0,24,0,73,19,106,13,0,44,0,0,0,0,0,23,10,0,12,5,0,119,0,13,6,24035
"Italian","Eurasia",6,0,3,0,0,0,18,19,3,0,5,19,0,29,5,21,5,0,21,0,4,0,0,0,20,0,0,0,2,0,27,0,8,0,14333
"Italian","Eurasia",19,0,13,0,4,0,66,27,9,0,15,27,0,111,5,46,9,0,29,4,4,0,0,0,17,13,0,5,11,0,116,8,53,5,22631
"Portuguese","Eurasia",5,0,2,0,0,0,5,5,0,0,3,3,0,12,2,4,0,0,3,0,0,0,0,2,3,2,0,0,0,0,4,0,23,0,5707
"Portuguese","Eurasia",21,0,9,0,0,0,48,24,0,0,0,17,0,98,6,38,9,0,17,0,0,0,0,7,18,11,0,0,0,0,50,0,45,0,27861
"French","Eurasia",42,10,15,0,20,0,40,37,0,11,13,44,0,117,11,68,12,0,14,0,15,0,21,13,30,10,36,0,16,10,45,0,49,12,39925
"French","Eurasia",15,0,5,0,0,0,23,6,5,0,12,15,5,29,0,20,5,0,0,0,0,0,0,6,12,0,0,0,0,0,18,0,9,7,11840
"Scottish Gaelic","Eurasia",63,6,15,0,0,0,48,22,33,0,46,63,8,93,16,42,13,5,6,0,0,0,0,8,8,5,0,10,8,0,43,0,38,6,18359
"German","Eurasia",66,0,0,0,0,12,43,47,15,0,26,29,10,101,14,33,15,0,49,0,16,0,14,18,33,13,11,0,0,0,64,0,40,0,37697
"German","Eurasia",14,0,0,0,0,1,0,12,0,0,1,0,2,26,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0,0,39,1,16,3,11672
"German","Eurasia",34,0,6,0,0,0,21,26,7,0,15,11,0,41,8,18,7,6,23,0,9,0,9,8,12,0,8,0,0,0,30,0,22,0,15460
"German","Eurasia",9,2,3,0,0,6,16,16,0,0,6,8,2,18,4,26,3,0,5,0,0,0,0,2,9,0,0,0,3,0,6,2,40,0,10782
"Italian","Eurasia",11,0,5,0,0,0,38,16,8,0,5,8,0,39,0,19,4,0,6,0,0,0,0,4,5,4,0,5,4,0,39,0,15,3,10514
"Lithuanian","Eurasia",13,0,0,0,0,0,11,7,6,2,3,11,0,20,0,6,7,0,5,0,0,0,3,2,5,10,8,2,3,0,25,4,10,0,7199
"Lithuanian","Eurasia",18,0,5,0,0,0,12,7,7,0,4,17,0,25,0,12,7,0,6,0,0,0,4,4,7,10,9,0,0,0,33,5,16,4,10210
"Standard Malay","Eurasia",6,0,7,0,0,0,8,8,5,11,0,0,0,35,5,14,5,0,25,0,0,0,0,2,4,8,2,0,6,0,16,0,11,2,9905
"Standard Malay","Eurasia",6,0,7,0,0,0,9,7,5,10,2,0,0,30,5,14,5,0,22,0,0,0,0,2,3,8,0,0,6,0,15,0,13,2,10357
"Standard Malay","Eurasia",13,0,0,0,6,2,4,5,0,9,0,0,3,42,0,14,3,0,19,0,6,0,0,0,11,3,4,2,4,0,17,2,12,0,11646
"Chippewa","North America",9,0,1,0,0,4,27,20,26,1,0,0,0,96,0,0,3,2,16,3,0,0,1,0,0,15,1,0,9,0,47,7,23,0,9954
"Chippewa","North America",4,0,1,0,0,4,15,13,16,0,0,0,0,61,0,0,1,1,10,1,0,0,1,0,0,11,0,0,4,0,29,5,21,0,5755
"Chippewa","North America",11,0,1,0,0,5,27,18,33,1,0,0,0,129,0,1,3,2,17,3,0,0,1,0,0,16,1,0,7,0,66,7,32,0,10911
"Portuguese","Eurasia",16,0,7,0,0,0,44,20,0,0,8,14,0,86,6,39,9,5,13,0,0,0,0,6,12,10,0,0,0,0,46,0,35,0,23849
"Portuguese","Eurasia",21,0,6,0,0,0,40,21,6,0,8,9,0,31,7,26,5,5,8,0,5,0,0,5,12,9,0,0,0,0,42,0,25,5,13252
"Raluana","Papunesia",9,3,0,2,5,0,2,9,0,2,0,2,4,45,2,3,0,0,19,0,3,0,2,4,10,11,2,0,5,0,38,2,14,3,9633
"Diriku","Africa",6,4,1,0,8,0,2,8,6,0,2,0,0,22,0,3,0,0,3,6,0,0,0,2,10,3,2,3,3,0,16,0,5,0,5490
"Spanish","Eurasia",21,0,5,0,0,0,27,8,6,0,8,27,0,77,7,37,0,0,5,0,0,0,5,11,15,9,0,0,6,0,26,0,18,0,18332
"Spanish","Eurasia",15,6,5,0,0,0,19,8,7,0,9,23,0,68,6,30,6,0,0,0,0,0,0,8,0,9,0,0,0,0,22,0,20,0,19172
"Spanish","Eurasia",15,0,0,0,0,0,22,8,6,0,10,22,0,69,7,33,6,0,0,0,5,0,6,8,6,10,0,0,0,0,18,0,20,0,18571
"Spanish","Eurasia",41,0,15,0,0,0,43,20,9,0,19,62,0,173,18,39,10,8,9,0,8,0,0,13,19,15,0,0,8,0,36,8,24,9,36570
"Spanish","Eurasia",20,0,5,0,0,0,25,8,6,0,8,28,0,77,7,35,0,0,0,0,0,0,8,11,14,9,0,0,7,0,26,0,22,0,18689
"Spanish","Eurasia",21,0,0,0,0,0,25,8,6,0,9,27,0,76,8,35,0,0,5,0,0,0,6,12,15,8,0,0,6,0,26,0,22,0,18784
"Lakota","North America",27,4,0,0,18,0,35,5,0,0,6,18,6,49,0,2,0,6,41,4,8,0,4,12,3,17,10,5,15,2,85,0,34,3,14860
"Welsh","Eurasia",18,7,0,0,0,3,6,11,3,0,9,16,5,16,0,13,13,6,3,4,7,0,0,4,5,0,0,0,0,0,15,3,17,0,8154
"Kosarek","Papunesia",1,0,1,0,7,6,3,7,4,1,5,1,0,38,0,1,0,5,20,0,2,0,1,0,0,7,2,0,13,0,12,0,16,2,5452
"Tibetan","Eurasia",8,0,0,0,0,0,14,20,6,0,4,0,0,24,0,4,5,3,14,0,1,0,0,2,0,7,0,0,0,1,30,0,0,1,6835
"Spanish","Eurasia",14,0,6,0,0,0,69,23,11,0,0,22,0,87,7,59,11,0,20,0,0,0,0,5,11,16,0,5,0,0,35,0,13,0,25902
"Tamil","Eurasia",4,0,5,0,3,0,33,8,6,2,14,0,0,49,0,14,6,0,8,0,0,0,2,2,14,6,3,10,5,0,48,5,10,3,12187
"Tamil","Eurasia",8,0,2,0,0,1,12,7,2,0,2,0,0,20,0,0,0,1,3,0,1,0,0,0,5,3,0,11,5,0,12,0,1,0,5489
"Indonesian","Papunesia",33,11,6,7,10,19,52,78,9,0,14,8,11,153,0,7,6,0,20,23,27,0,0,6,9,27,13,7,28,9,102,9,70,15,25366
"Urdu","Eurasia",40,6,0,10,30,9,20,33,0,0,16,34,9,153,9,21,6,6,9,0,20,0,7,15,36,9,7,0,8,6,37,0,28,0,23682
"Fijian","Papunesia",24,1,1,0,0,0,6,11,0,3,0,0,2,31,0,5,1,4,14,0,0,0,0,0,0,13,3,1,4,0,23,1,3,0,6726
"Fijian","Papunesia",23,1,1,0,0,0,6,10,1,3,0,1,2,31,0,5,0,4,14,0,0,0,0,0,1,13,3,0,4,0,23,0,3,0,6712
"French","Eurasia",3,0,0,0,1,0,3,0,0,0,0,0,0,9,4,5,0,0,0,0,0,0,2,5,4,0,0,0,0,1,3,1,0,0,5326
"French","Eurasia",17,0,6,0,0,6,33,17,0,0,8,18,0,31,10,30,9,0,8,0,9,0,9,9,17,8,15,0,6,0,25,0,25,0,22326
"Central Carrier","North America",85,0,25,0,0,0,100,116,0,0,41,65,0,230,37,101,18,0,53,0,14,0,0,0,65,39,0,0,0,0,67,0,120,0,79987
"French","Eurasia",28,8,10,6,9,6,26,15,0,0,6,28,0,66,13,24,8,0,7,0,7,0,6,18,13,10,12,0,0,0,22,6,14,0,23710
"German","Eurasia",55,10,10,0,0,15,33,58,11,0,16,29,11,104,0,64,15,0,36,0,17,0,18,16,23,16,16,0,0,0,67,0,87,12,36467
"German","Eurasia",70,0,0,0,0,12,42,47,17,0,24,26,15,103,0,35,15,0,50,0,25,0,17,21,33,13,12,0,12,0,60,0,38,0,40323
"German","Eurasia",29,0,5,0,0,0,13,15,7,0,4,9,0,42,6,19,0,0,16,0,7,0,14,6,3,5,0,0,0,0,19,0,9,0,9817
"Samoan","Papunesia",12,2,0,0,0,0,9,4,7,2,0,2,1,40,0,0,0,0,20,1,0,0,0,6,2,11,5,9,9,0,44,1,4,0,7459
"Modern Greek","Eurasia",78,0,25,0,0,0,49,31,6,0,11,21,0,135,0,45,24,10,6,0,0,0,0,15,9,9,0,5,0,0,84,7,17,15,26305
"Modern Greek","Eurasia",11,4,8,6,5,5,23,28,7,6,13,15,0,30,0,8,8,5,5,0,0,0,9,6,6,4,4,3,8,0,29,4,14,4,10628
"Iban","Papunesia",17,0,5,0,8,0,12,5,4,0,0,0,0,42,3,40,9,0,10,0,15,0,0,0,8,6,12,5,5,3,24,2,7,0,10174
"Urdu","Eurasia",30,7,14,0,7,5,29,48,5,19,26,6,0,79,5,17,11,14,11,0,0,0,0,4,5,21,0,39,13,0,34,8,23,0,17310
"Hausa","Africa",0,7,0,0,0,3,3,2,0,0,0,0,11,42,0,2,3,2,4,3,2,0,0,0,4,2,12,0,8,0,24,0,5,0,6766
"Hausa","Africa",4,5,0,0,6,0,4,13,0,0,0,0,45,207,0,4,0,24,28,0,7,0,0,0,55,12,59,0,7,4,82,0,7,0,27070
"Modern Hebrew","Eurasia",0,0,5,0,0,0,25,16,5,21,2,2,0,93,2,1,0,0,38,0,0,0,0,0,13,37,0,5,0,0,42,1,7,2,5475
"Bodo","Africa",24,6,8,7,16,0,8,16,6,0,17,16,5,67,0,26,10,6,6,0,9,0,0,8,21,0,4,0,5,0,27,0,12,5,15197
"Japanese","Eurasia",21,0,0,0,14,0,16,18,12,6,11,11,0,59,0,22,12,5,25,0,0,0,6,4,9,33,6,15,0,0,32,6,23,16,16030
