"location","year","Depressive disorders","Major depressive disorder","Dysthymia","Anxiety disorders","mn_pos","mn_neg","ratio","total"
"Albania",2017,2.60789622233,1.52661535501,1.11648213241,3.6512985698,29.8,18.6,0.624161073825503,48.4
"North Korea",2017,3.62826220714,1.70995874493,1.99157354149,3.51170376378,419.481481481481,311.481481481481,0.742539290128907,730.962962962963
"Brazil",2017,3.52967279844,2.45930406825,1.13243090581,6.45081052177,183.96875,119.40625,0.649057244776627,303.375
"Moldova",2017,4.24353960922,2.46252647061,1.87373370255,3.12309116783,187.75,134.5,0.716378162450067,322.25
"Bermuda",2017,3.50809248985,2.28051628763,1.28481902036,5.06689252807,20,16,0.8,36
"Papua New Guinea",2017,2.59043419652,1.47560468526,1.15713761134,2.91107108016,198,88,0.444444444444444,286
"Qatar",2017,4.0037342714,3.00235746101,1.07351390107,4.86716531812,271.964285714286,137.428571428571,0.505318450426789,409.392857142857
"Greenland",2017,6.57790893241,4.76495473845,2.02531579665,6.03465067489,100.714285714286,63.4285714285714,0.629787234042553,164.142857142857
"Nigeria",2017,2.79586863981,2.02805868161,0.82239543065,2.65467284472,20,16,0.8,36
"Egypt",2017,2.97079006004,2.15764520299,0.862550120357,4.28479696418,271.964285714286,137.428571428571,0.505318450426789,409.392857142857
"Canada",2017,4.25359604088,2.19157082709,2.14727962247,5.36534010675,72.3275505989261,47.3320941759603,0.654413066445847,119.659644774886
"Niger",2017,2.16621866845,1.49373102977,0.710820928595,2.45618210268,211.94696969697,130.931818181818,0.617757443614398,342.878787878788
"Democratic Republic of the Congo",2017,3.02983855835,2.25458004948,0.833502805824,2.93062891789,211.94696969697,130.931818181818,0.617757443614398,342.878787878788
"Bosnia and Herzegovina",2017,2.92029500714,1.75749040356,1.20505169623,3.7595497343,67.05,85.6,1.27665920954512,152.65
"Indonesia",2017,2.65361201951,1.11048986898,1.58230774108,3.3655527746,239.071428571429,209.214285714286,0.875112040633403,448.285714285714
"United States",2017,5.08941531334,3.15592896994,2.0578267465,6.88429321955,46.8869995695222,34.4325226000861,0.734372489521982,81.3195221696083
"Samoa",2017,2.59923494971,1.3456756089,1.29501727173,3.02760413498,87.6666666666667,90.3333333333333,1.03041825095057,178
"Colombia",2017,2.28742694369,1.55320590468,0.762718848775,2.57840871894,210.277227722772,146.445544554455,0.696440342781806,356.722772277228
"Greece",2017,4.83658953528,3.01777512496,1.92626333277,5.91933630801,106.222222222222,54.6666666666667,0.514644351464435,160.888888888889
"Lesotho",2017,4.98050395822,4.09155525336,1.02418199548,3.42012216561,161.75,159.25,0.984544049459042,321
"Belize",2017,2.67589413316,1.82533732062,0.890099558101,4.59569233626,110.122937984175,77.7842495546626,0.706340122943691,187.907187538838
"Gabon",2017,3.63842973446,2.69458004292,1.01667195515,3.24192567948,211.94696969697,130.931818181818,0.617757443614398,342.878787878788
"France",2017,4.79285411628,3.27337799056,1.62766451669,6.71260909228,211.94696969697,130.931818181818,0.617757443614398,342.878787878788
"Antigua and Barbuda",2017,2.84010983178,1.77845172787,1.1007351144,4.94856999203,20,16,0.8,36
"Barbados",2017,3.28308976209,2.12227164254,1.21159615361,5.00799536942,20,16,0.8,36
"Sao Tome and Principe",2017,2.57088516319,1.67545237732,0.937223912784,2.838340231,183.96875,119.40625,0.649057244776627,303.375
"Libya",2017,3.84340766416,2.84370736591,1.07267745712,5.1666587215,271.964285714286,137.428571428571,0.505318450426789,409.392857142857
"Ireland",2017,4.57070176879,2.80001076464,1.86690983885,5.92207744922,20,16,0.8,36
"Kenya",2017,2.69922886027,1.85337353723,0.893454630942,3.42781867633,20,16,0.8,36
"Australia",2017,4.85863575799,3.29572974936,1.66838163278,6.56879014449,20,16,0.8,36
"Eritrea",2017,2.9135864929,2.08333496088,0.883288023799,3.39736492692,107.25,101.25,0.944055944055944,208.5
"Zimbabwe",2017,2.41574609914,1.54745055816,0.908156584719,2.911974903,58.5,66.5,1.13675213675214,125
"El Salvador",2017,3.04740566091,2.23067467303,0.864866009641,2.99987508078,210.277227722772,146.445544554455,0.696440342781806,356.722772277228
"Hungary",2017,3.6609828828,2.48525058682,1.24458944593,3.82003343905,78.4117647058823,65.8235294117647,0.839459864966242,144.235294117647
"Poland",2017,2.79445774913,1.61602018694,1.21567766811,3.78054640265,113.151515151515,98.6060606060606,0.871451526513123,211.757575757576
