id,year,title,langname,gcode,area,langfamily,affiliation,longitude,latitude
uc2.ark+=13960=t4th8pg7g,1919,"Chinese-English dictionary; comprising over 3,800 characters with translations, explanations, pronunciations.",Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
uc1.32106020438294,1963,Chinese-English dictionary of modern Communist Chinese usage.,Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
uc1.31822007157936,1972,Chinese-English dictionary of modern usage.,Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
mdp.39015046818681,1899,"Chinese-English dictionary of the vernacular or spoken language of Amoy,",Xiamen,xiam1236,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Min,Coastal Min,Min Nan Chinese,Quanzhang",118.08918,24.49421
mdp.39015060795732,2003,Chinese-English dictionary : with transliteration in Roman script and pronunciation in Nepali / Rabison Shakya.,Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
uiug.30112031112011,1944,Chinese-English pocket-dictionary.,Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
uc1.b4020481,1911,"Chinese-English pocket dictionary, with Mandarin and Shanghai pronunciation, and references to the dictionaries of Williams and Giles, by D.H. Davis and John Alfred Silsby.",Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
uva.x000741797,1976,Chinese to English dictionary / by C.K. Wu ... [et al.].,Mandarin Chinese,mand1415,Eurasia,Sino-Tibetan,"Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Middle-Modern Sinitic,Northern Chinese,Mandarinic",116.228,40.0209
coo.31924097771699,1978,"Choctaw-English dictionary / Will T. Nelson, editor.",Choctaw,choc1276,North America,Muskogean,"Muskogean,Western Muskogean",271.5,32.25
uva.x004616427,2003,Chos skad Dbyin tshig gi gter mdzod / Si. Kri. Rdo-rje = Chhoekay-English dictionary / compiled by C.T. Dorji.,Tibetan,tibe1272,Eurasia,Sino-Tibetan,"Sino-Tibetan,Bodic,Bodish,Early Old Tibetan,Middle Old Tibetan,Late Old Tibetan,Central Tibetan",90.1872,28.3681
uva.x000068169,1976,Classical Japanese-English grammar dictionary / Jiří Jelínek.,Japanese,nucl1643,Eurasia,Japonic,"Japonic,Japanesic,Japan-Taiwan Japanese",135,35
iau.31858016336491,1890,"Classic French dictionary in two parts, French-English and English-French. Compiled from the best authorities of both languages.",French,stan1290,Eurasia,Indo-European,"Indo-European,Italic,Latino-Faliscan,Latinic,Imperial Latin,Romance,Italo-Western Romance,Western Romance,Shifted Western Romance,Northwestern Shifted Romance,Gallo-Rhaetian,Oil,Central Oil,Macro-French,Global French",2,48
